epoch99 results: 
channel 43:  4536
channel 18:  3306
channel 25:  3014
channel 42:  2945
channel 27:  2871
channel 38:  2310
channel 48:  1618
channel 16:  1002
channel 62:   684
channel 29:   661
channel 44:   507
channel 22:   328
channel 37:   256
channel  7:   202
channel 10:   115
channel 63:    95
channel 14:    59
channel 23:    47
channel 32:    42
channel 21:    27
channel 51:    19
channel 30:    18
channel 33:     8
channel  0:     8
channel 40:     8
channel 59:     8
channel  8:     6
channel 11:     5
channel 47:     5
channel 61:     5
channel  5:     4
channel 50:     4
channel  2:     3
channel 28:     3
channel 31:     2
channel 17:     2
channel 57:     2
channel 24:     1
channel  9:     1
channel 52:     1
channel 34:     1
channel 35:     1
channel  6:     0
channel  4:     0
channel 60:     0
channel  3:     0
channel  1:     0
channel 12:     0
channel 13:     0
channel 39:     0
channel 15:     0
channel 58:     0
channel 20:     0
channel 56:     0
channel 55:     0
channel 54:     0
channel 53:     0
channel 26:     0
channel 49:     0
channel 46:     0
channel 45:     0
channel 36:     0
channel 41:     0
channel 19:     0
