epoch99 results: 
channel 18:  4864
channel 21:  4817
channel  6:  4493
channel 55:  2994
channel 28:  2911

channel 30:  1687
channel 38:  1025
channel  1:   423
channel 35:   353
channel 54:   352
channel 40:   349
channel 41:   174
channel 48:    78
channel 46:    56
channel 12:    39
channel 61:    22
channel 56:    17
channel 52:    14
channel 50:    10
channel 62:    10
channel 49:     8
channel 23:     6
channel 37:     6
channel 14:     5
channel 17:     5
channel 11:     4
channel 36:     3
channel 31:     3
channel  4:     3
channel 60:     3
channel 27:     2
channel  9:     1
channel 13:     1
channel  8:     1
channel 25:     1
channel 19:     0
channel  7:     0
channel  5:     0
channel 15:     0
channel 16:     0
channel  3:     0
channel  2:     0
channel 10:     0
channel 63:     0
channel 20:     0
channel 22:     0
channel 59:     0
channel 58:     0
channel 57:     0
channel 53:     0
channel 51:     0
channel 47:     0
channel 45:     0
channel 44:     0
channel 43:     0
channel 42:     0
channel 39:     0
channel 34:     0
channel 33:     0
channel 32:     0
channel 29:     0
channel 26:     0
channel 24:     0
channel  0:     0
