epoch1 results: 
channel 25:  1941
channel  7:  1497
channel 58:  1484
channel 59:  1406
channel 48:  1370
channel  0:  1190
channel 52:  1174
channel 42:  1168
channel 53:  1121
channel 16:  1095
channel 47:   914
channel 39:   844
channel 55:   771
channel 22:   583
channel 14:   489
channel 11:   481
channel  3:   471
channel 28:   418
channel 63:   362
channel 33:   343
channel 38:   325
channel  5:   320
channel 29:   318
channel 50:   295
channel 62:   283
channel 15:   269
channel 30:   249
channel 35:   247
channel 44:   246
channel 41:   225
channel 51:   214
channel 60:   211
channel 26:   206
channel 43:   196
channel 13:   163
channel 46:   162
channel  4:   133
channel 18:   123
channel 56:   120
channel  2:   119
channel 27:   110
channel 57:   104
channel  9:   101
channel 10:    94
channel 32:    88
channel 24:    69
channel 19:    65
channel 37:    61
channel 21:    61
channel 54:    44
channel 20:    42
channel 23:    42
channel  1:    42
channel  8:    39
channel 31:    39
channel 49:    38
channel 61:    34
channel 36:    26
channel 34:    24
channel 40:    18
channel 12:    18
channel  6:    15
channel 17:    14
channel 45:     6
