epoch59 results: 
channel 43:  4232
channel 42:  4107
channel 27:  3998
channel 48:  3196
channel 38:  2188
channel 18:   955
channel 16:   947
channel  7:   568
channel 51:   554
channel 25:   499
channel  5:   403
channel 29:   384
channel 22:   380
channel 36:   235
channel 59:   213
channel 44:   207
channel 23:   189
channel 62:   174
channel 12:   140
channel 14:   120
channel 32:   115
channel 21:   114
channel 47:    99
channel 20:    90
channel 57:    88
channel 49:    82
channel 45:    50
channel 52:    46
channel 31:    45
channel 26:    42
channel  8:    42
channel 10:    40
channel 15:    35
channel 35:    32
channel 50:    29
channel  3:    25
channel 11:    12
channel  4:     9
channel 24:     9
channel  0:     7
channel 37:     6
channel 40:     6
channel 28:     4
channel 46:     4
channel 39:     4
channel 13:     4
channel 33:     3
channel 34:     2
channel  9:     2
channel  2:     1
channel 30:     1
channel 63:     1
channel 41:     1
channel 19:     1
channel 54:     0
channel 17:     0
channel 55:     0
channel 56:     0
channel  6:     0
channel 58:     0
channel 60:     0
channel 61:     0
channel  1:     0
channel 53:     0
