epoch97 results: 
channel 43:  4739
channel 42:  3878
channel 27:  3338
channel 38:  3168
channel 18:  2748
channel 48:  2078
channel 25:  1867
channel 62:  1059
channel 16:   357
channel  7:   199
channel 44:   180
channel 22:   151
channel  5:   148
channel 10:   138
channel 51:   116
channel 29:   105
channel 23:    95
channel 52:    70
channel 63:    37
channel 14:    34
channel 21:    31
channel 60:    25
channel  3:    22
channel 37:    21
channel 40:    20
channel 12:    19
channel 57:    17
channel 59:    15
channel 17:    14
channel 32:    11
channel  0:     6
channel 46:     6
channel 31:     4
channel 30:     4
channel 28:     4
channel 39:     4
channel 15:     3
channel 47:     2
channel 45:     1
channel 61:     1
channel  9:     1
channel 33:     1
channel 36:     1
channel 24:     1
channel 26:     1
channel 41:     0
channel  1:     0
channel  2:     0
channel 35:     0
channel  4:     0
channel 58:     0
channel  6:     0
channel 56:     0
channel  8:     0
channel 55:     0
channel 20:     0
channel 11:     0
channel 54:     0
channel 13:     0
channel 53:     0
channel 34:     0
channel 49:     0
channel 19:     0
channel 50:     0
