epoch1 results: 
channel 14:  2321
channel 37:  2137
channel 57:  1948
channel 34:  1383
channel 29:  1304
channel 60:  1236
channel  3:  1109
channel 35:  1103
channel 47:   965
channel 61:   776
channel 36:   756
channel 63:   746
channel  0:   626
channel 16:   564
channel 26:   523
channel 25:   461
channel 23:   455
channel  7:   412
channel  2:   386
channel 11:   370
channel 41:   343
channel 59:   320
channel 40:   274
channel 46:   267
channel 21:   261
channel 55:   261
channel  1:   243
channel 10:   220
channel 51:   216
channel 20:   214
channel  9:   192
channel 12:   177
channel 52:   131
channel 56:   127
channel 17:   125
channel 19:   120
channel 30:   119
channel  6:   105
channel 24:    93
channel 45:    89
channel 18:    88
channel 43:    86
channel 22:    85
channel 42:    84
channel  5:    77
channel 49:    75
channel 27:    75
channel 58:    70
channel 53:    69
channel 33:    67
channel 50:    62
channel 13:    62
channel 15:    61
channel  8:    53
channel 54:    38
channel 28:    33
channel 39:    33
channel 62:    27
channel 31:    25
channel 32:    24
channel 44:    20
channel 38:    18
channel 48:    18
channel  4:    12
