epoch98 results: 
channel 21:  4655
channel 18:  4061
channel  6:  3238
channel 28:  3165
channel 55:  1881

channel 35:  1738
channel 40:  1470
channel 30:  1120
channel 54:  1105
channel 41:  1019
channel 12:   543
channel  1:   194
channel 46:   182
channel 56:   145
channel 38:    71
channel 61:    59
channel 37:    32
channel 36:    16
channel 52:    10
channel 45:     8
channel 62:     4
channel 13:     3
channel 39:     3
channel 48:     2
channel 14:     2
channel 11:     2
channel 26:     2
channel  8:     2
channel 27:     1
channel 25:     1
channel 17:     1
channel 31:     1
channel  0:     1
channel 50:     1
channel 58:     1
channel 47:     1
channel 32:     0
channel 60:     0
channel  2:     0
channel  3:     0
channel  4:     0
channel  5:     0
channel 59:     0
channel  7:     0
channel  9:     0
channel 10:     0
channel 57:     0
channel 53:     0
channel 51:     0
channel 15:     0
channel 29:     0
channel 16:     0
channel 49:     0
channel 19:     0
channel 20:     0
channel 44:     0
channel 22:     0
channel 23:     0
channel 24:     0
channel 43:     0
channel 42:     0
channel 34:     0
channel 33:     0
channel 63:     0
